,Time to Maturity,Strike Price,Step Size,Option Price,Confidence Interval,CPU
0,0.5,90,0.01,14.209458729353873,"(14.102836774995042, 14.316080683712704)",0.23851418495178223
1,0.5,90,0.001,12.754396761244417,"(12.652382261666796, 12.856411260822037)",2.267777919769287
2,0.5,90,0.0001,12.574506842155007,"(12.472874000630249, 12.676139683679764)",23.008583068847656
3,0.5,100,0.01,7.330866697425761,"(7.247778530208859, 7.413954864642663)",0.2256629467010498
4,0.5,100,0.001,6.2731266888320745,"(6.196090236524481, 6.350163141139668)",2.6131629943847656
5,0.5,100,0.0001,6.153457752599918,"(6.077000636203086, 6.22991486899675)",24.91251802444458
6,0.5,110,0.01,2.9880885362540663,"(2.933887153014244, 3.042289919493889)",0.23761796951293945
7,0.5,110,0.001,2.406432673074851,"(2.358156690240361, 2.454708655909341)",2.3532209396362305
8,0.5,110,0.0001,2.3438066677469203,"(2.2959927090784875, 2.391620626415353)",22.726210832595825
9,1.0,90,0.01,16.173069309684834,"(16.019888162973327, 16.32625045639634)",0.46572113037109375
10,1.0,90,0.001,15.481433017182267,"(15.331157683821214, 15.63170835054332)",4.6115899085998535
11,1.0,90,0.0001,15.510583863716123,"(15.360025234561217, 15.66114249287103)",45.789448261260986
12,1.0,100,0.01,10.259184540541082,"(10.131294805071732, 10.38707427601043)",0.46454715728759766
13,1.0,100,0.001,9.71328916175459,"(9.588631654687399, 9.83794666882178)",4.528343915939331
14,1.0,100,0.0001,9.722858207658048,"(9.597754722605297, 9.847961692710799)",48.48922300338745
15,1.0,110,0.01,5.993230465328875,"(5.893229100545924, 6.093231830111825)",0.53635573387146
16,1.0,110,0.001,5.604802258872517,"(5.507970402603169, 5.701634115141864)",4.743373870849609
17,1.0,110,0.0001,5.613142625891695,"(5.515760602422929, 5.710524649360461)",47.00422286987305
18,2.0,90,0.01,20.669446592953403,"(20.430564700099367, 20.908328485807438)",0.911870002746582
19,2.0,90,0.001,20.218826034577916,"(19.98254721298985, 20.45510485616598)",9.16271686553955
20,2.0,90,0.0001,20.293184274521572,"(20.056656259407998, 20.529712289635146)",91.80993914604187
21,2.0,100,0.01,15.590426129864504,"(15.37565706674968, 15.805195192979328)",0.9084858894348145
22,2.0,100,0.001,15.207521385295552,"(14.99548496379247, 15.419557806798634)",9.516937971115112
23,2.0,100,0.0001,15.26346560463392,"(15.051113111070388, 15.475818098197452)",97.59234976768494
24,2.0,110,0.01,11.524908354797908,"(11.335548695484995, 11.714268014110822)",0.907120943069458
25,2.0,110,0.001,11.196141289812127,"(11.009447507959102, 11.382835071665152)",9.080045938491821
26,2.0,110,0.0001,11.256799041701237,"(11.0698988043546, 11.443699279047875)",91.37885808944702
